product_id,collection_id
1,1
1,5
2,1
2,3
3,5
3,10
4,1
4,10
5,7
5,10
6,1
6,3
7,2
7,7
8,1
8,5
9,5
9,9
10,3
10,10
11,2
11,7
12,9
12,2
13,9
13,6
14,3
14,10
15,2
15,7
16,6
16,10
17,9
17,4
18,1
18,5
19,5
19,1
20,2
20,8
21,4
21,9
22,3
22,4
23,4
23,9
24,9
24,7
25,1
25,10
26,7
26,6
27,3
27,7
28,1
28,8
29,10
29,7
30,3
30,10
31,7
31,10
32,5
32,8
33,7
33,8
34,9
34,10
35,3
35,8
36,5
36,3
37,5
37,10
38,2
38,8
39,6
39,4
40,8
40,1
41,3
41,10
42,7
42,9
43,4
43,9
44,4
44,9
45,2
45,7
46,2
46,4
47,9
47,6
48,5
48,10
49,1
49,10
50,8
50,3
51,1
51,5
52,4
52,9
53,2
53,8
54,7
54,8
55,3
55,10
56,8
56,3
57,5
57,10
58,7
58,10
59,7
59,3
60,8
60,3
