order_item_id,order_id,product_id,quantity,unit_price
1,1,66,1,737.4
2,2,17,3,317.18
3,2,66,2,707.13
4,3,40,1,354.7
5,3,3,3,480.56
6,3,51,2,463.9
7,4,9,1,596.9
8,4,70,2,409.09
9,5,37,1,485.02
10,6,54,2,397.58
11,6,48,3,464.39
12,6,49,3,458.03
13,7,45,3,692.63
14,8,68,1,299.21
15,8,17,1,331.31
16,9,60,2,600.82
17,9,70,1,402.42
18,10,45,3,704.56
19,10,20,1,979.63
20,11,54,1,388.83
21,11,79,1,606.78
22,11,3,3,465.79
23,12,7,1,853.83
24,12,32,1,731.79
25,12,6,2,501.14
26,13,74,3,398.39
27,14,42,3,1078.59
28,14,31,2,674.26
29,14,39,1,669.31
30,15,76,1,732.32
31,15,23,3,855.56
32,15,55,3,1071.84
33,16,54,2,384.98
34,16,53,3,633.09
35,17,31,3,658.64
36,17,29,2,535.56
37,18,72,2,434.85
38,19,68,1,284.29
39,19,18,1,802.66
40,19,50,2,568.53
41,20,69,1,732.73
42,21,35,3,387.01
43,22,6,3,537.58
44,22,10,3,478.3
45,22,25,1,529.9
46,23,39,1,662.93
47,23,2,1,637.77
48,24,62,2,551.89
49,24,32,3,760.58
50,24,78,2,913.22
51,25,60,2,615.13
52,25,69,3,697.84
53,26,60,3,624.96
54,26,13,2,683.3
55,27,48,1,461.28
56,28,29,3,542.38
57,28,19,2,790.41
58,28,3,1,458.34
59,29,30,1,369.79
60,29,49,3,436.66
61,30,44,3,1050.34
62,30,33,2,516.95
63,30,63,2,557.62
64,31,18,2,836.22
65,32,70,1,409.26
66,33,5,2,429.79
67,33,10,3,449.44
68,33,7,3,838.32
69,34,2,2,590.18
70,35,8,3,510.82
71,35,80,3,638.3
72,36,3,2,470.02
73,36,1,3,398.9
74,37,36,3,713.31
75,37,69,1,728.92
76,37,37,1,469.46
77,38,20,2,965.02
78,38,31,2,695.07
79,38,25,1,563.12
80,39,52,3,814.51
81,39,59,3,356.42
82,40,5,2,400.26
83,41,71,1,603.6
84,41,61,1,632.22
85,42,56,1,790.49
86,42,43,1,397.42
87,43,28,3,819.51
88,44,61,3,646.64
89,44,35,3,409.64
90,44,6,1,524.36
91,45,41,1,488.1
92,46,19,3,767.32
93,46,51,2,472.47
94,46,10,3,475.97
95,47,50,3,560.99
96,47,18,3,836.55
97,48,45,1,716.82
98,48,7,3,848.23
99,48,13,2,718.32
100,49,4,2,731.54
101,49,35,2,391.69
102,50,49,3,444.96
103,50,56,3,775.14
104,50,24,1,617.65
105,51,10,3,450.26
106,51,11,1,726.59
107,51,35,2,401.97
108,52,14,2,375.09
109,52,12,2,423.27
110,53,17,2,306.12
111,54,72,1,434.63
112,54,66,3,709.62
113,55,77,2,716.91
114,56,2,1,602.67
115,56,38,3,879.13
116,57,74,3,407.04
117,58,22,2,639.27
118,58,18,1,816.67
119,59,56,2,766.54
120,60,10,1,455.05
121,60,47,2,687.07
122,61,79,2,607.19
123,61,26,2,657.58
124,61,59,3,360.53
125,62,43,3,374.93
126,62,57,1,579.62
127,63,42,1,1086.34
128,63,78,1,928.64
129,64,41,3,527.04
130,64,38,3,857.99
131,65,42,2,1023.96
132,66,15,3,598.57
133,66,73,3,350.81
134,67,60,1,633.89
135,68,38,2,887.63
136,68,9,1,577.72
137,69,39,3,695.09
138,69,31,2,667.31
139,69,33,3,481.62
140,70,75,3,598.61
141,70,52,1,802.02
142,71,69,1,726.22
143,71,77,1,680.41
144,72,46,3,339.56
145,72,22,2,667.45
146,72,79,2,664.52
147,73,14,1,378.98
148,73,2,3,608.87
149,74,75,2,593.04
150,74,74,3,404.56
151,74,29,3,561.57
152,75,45,2,759.41
153,76,38,1,851.2
154,77,19,2,771.37
155,78,27,2,614.48
156,78,67,3,439.14
157,79,58,3,410.1
158,79,41,2,493.48
159,79,9,3,576.23
160,80,32,3,729.96
