shipping_id,order_id,courier_name,tracking_number,shipped_date,estimated_delivery,status
1,1,Leopards,LEO-618746,2024-03-21,2024-03-25,Delivered
2,2,M&P,M&P-454161,2024-08-24,2024-08-27,Delivered
3,3,BlueEx,BLU-993829,2024-10-24,2024-10-28,Processing
4,4,Swyft,SWY-899281,2023-08-21,2023-08-23,Delivered
5,5,TCS,TCS-756596,2024-05-03,2024-05-05,Processing
6,6,TCS,TCS-999312,2024-08-29,2024-09-03,Processing
7,7,PostEx,POS-100708,2025-03-18,2025-03-21,Dispatched
8,8,Swyft,SWY-416528,2025-04-27,2025-05-01,Delivered
9,9,TCS,TCS-786385,2023-10-10,2023-10-14,Dispatched
10,11,M&P,M&P-796787,2025-01-11,2025-01-14,Delivered
11,12,TCS,TCS-515594,2023-09-28,2023-10-02,Processing
12,13,Swyft,SWY-833417,2024-02-25,2024-03-01,Delivered
13,15,Swyft,SWY-195629,2024-09-01,2024-09-03,Delivered
14,16,TCS,TCS-323788,2024-12-17,2024-12-19,Delivered
15,18,Leopards,LEO-722518,2023-10-22,2023-10-27,Processing
16,19,TCS,TCS-108454,2024-12-19,2024-12-23,Dispatched
17,22,PostEx,POS-827744,2024-12-17,2024-12-22,Delivered
18,25,TCS,TCS-340068,2024-12-18,2024-12-20,Delivered
19,26,Swyft,SWY-945106,2023-11-21,2023-11-23,Delivered
20,27,M&P,M&P-485416,2024-12-31,2025-01-03,Delivered
21,28,PostEx,POS-911032,2025-01-12,2025-01-15,Delivered
22,29,TCS,TCS-656278,2024-10-25,2024-10-27,Delivered
23,30,BlueEx,BLU-781595,2024-07-21,2024-07-26,Delivered
24,31,M&P,M&P-857524,2024-09-19,2024-09-22,In Transit
25,32,BlueEx,BLU-819916,2024-05-21,2024-05-24,Dispatched
26,33,TCS,TCS-246814,2024-09-21,2024-09-26,In Transit
27,34,PostEx,POS-429780,2024-06-29,2024-07-02,In Transit
28,36,Swyft,SWY-188341,2024-10-23,2024-10-27,Delivered
29,37,Swyft,SWY-128127,2024-05-30,2024-06-03,Processing
30,38,Leopards,LEO-642899,2024-09-27,2024-09-30,Delivered
31,39,Swyft,SWY-510780,2024-06-11,2024-06-13,Delivered
32,40,Leopards,LEO-618927,2024-12-20,2024-12-22,Processing
33,41,Leopards,LEO-623850,2025-03-03,2025-03-05,Dispatched
34,42,M&P,M&P-431845,2024-05-14,2024-05-19,Delivered
35,43,BlueEx,BLU-541307,2023-07-14,2023-07-17,In Transit
36,44,TCS,TCS-117500,2023-11-03,2023-11-05,Delivered
37,45,TCS,TCS-374921,2024-07-08,2024-07-10,Dispatched
38,46,PostEx,POS-631219,2024-11-29,2024-12-04,Delivered
39,47,PostEx,POS-835901,2025-04-22,2025-04-24,Dispatched
40,48,M&P,M&P-187657,2025-04-04,2025-04-06,Dispatched
41,49,Leopards,LEO-662445,2025-03-08,2025-03-13,Processing
42,50,BlueEx,BLU-765105,2023-07-06,2023-07-08,Delivered
43,51,M&P,M&P-832614,2024-07-29,2024-08-01,Dispatched
44,52,Leopards,LEO-190400,2023-08-05,2023-08-07,Delivered
45,53,PostEx,POS-742039,2024-11-23,2024-11-25,Delivered
46,54,M&P,M&P-798435,2025-05-01,2025-05-04,Dispatched
47,56,TCS,TCS-842287,2024-10-14,2024-10-16,Delivered
48,57,Leopards,LEO-620526,2024-12-10,2024-12-14,Delivered
49,58,Leopards,LEO-489933,2024-03-25,2024-03-29,Delivered
50,59,Swyft,SWY-223791,2024-10-04,2024-10-08,Delivered
51,60,PostEx,POS-385192,2023-10-22,2023-10-24,Delivered
52,61,M&P,M&P-846925,2024-11-28,2024-11-30,Delivered
53,62,PostEx,POS-577309,2023-09-14,2023-09-18,Delivered
54,63,TCS,TCS-623879,2025-04-02,2025-04-05,Processing
55,64,M&P,M&P-264951,2023-09-02,2023-09-04,Delivered
56,65,BlueEx,BLU-806866,2023-12-01,2023-12-03,Processing
57,66,Leopards,LEO-876764,2024-03-26,2024-03-28,Delivered
58,68,TCS,TCS-112884,2024-10-30,2024-11-01,Processing
59,69,PostEx,POS-481657,2025-03-27,2025-03-30,Delivered
60,70,Leopards,LEO-999138,2023-12-16,2023-12-21,Delivered
61,71,Leopards,LEO-437433,2023-08-29,2023-09-03,Delivered
62,73,Swyft,SWY-435476,2025-01-09,2025-01-11,In Transit
63,74,TCS,TCS-626428,2024-04-13,2024-04-15,Processing
64,75,Leopards,LEO-334026,2024-04-01,2024-04-03,Delivered
65,76,PostEx,POS-172274,2025-02-12,2025-02-16,Delivered
66,77,M&P,M&P-443199,2024-01-11,2024-01-16,Delivered
67,78,TCS,TCS-486839,2024-06-06,2024-06-10,Delivered
68,80,BlueEx,BLU-922615,2025-04-29,2025-05-02,In Transit
